id,service_id,customer_id,professional_id,status,request_date,completion_date,seen
1,1,1,1,Completed,2025-03-12T03:04:16.104103,2025-03-15T03:04:16.104115,True
2,2,2,2,Accepted,2025-03-14T03:04:16.104548,,False
3,1,1,1,Completed,2025-03-12T03:04:44.318714,2025-03-15T03:04:44.318722,True
4,2,2,2,Accepted,2025-03-14T03:04:44.319163,,False
5,1,1,1,Completed,2025-03-12T03:04:47.000294,2025-03-15T03:04:47.000306,True
6,2,2,2,Accepted,2025-03-14T03:04:47.000735,,False
7,1,1,3,Completed,2025-03-17T03:07:07.375096,2025-03-17T00:00:00,True
8,1,1,3,Cancelled,2025-03-17T03:07:10.391166,,True
9,1,1,3,Rejected,2025-03-17T03:07:13.200606,,True
10,1,1,3,Accepted,2025-03-17T03:07:15.720193,,True
