id,service_id,customer_id,professional_id,status,request_date,completion_date,seen
1,1,1,1,Completed,2025-03-12T02:44:18.538370,2025-03-15T02:44:18.538380,True
2,2,2,2,Accepted,2025-03-14T02:44:18.538961,,False
3,1,1,1,Completed,2025-03-12T02:44:20.772798,2025-03-15T02:44:20.772809,True
4,2,2,2,Accepted,2025-03-14T02:44:20.773248,,False
5,1,1,1,Completed,2025-03-12T02:44:58.564331,2025-03-15T02:44:58.564341,True
6,2,2,2,Accepted,2025-03-14T02:44:58.564748,,False
7,1,1,1,Completed,2025-03-12T02:45:10.853836,2025-03-15T02:45:10.853849,True
8,2,2,2,Accepted,2025-03-14T02:45:10.854358,,False
9,1,1,1,Completed,2025-03-12T02:45:13.610100,2025-03-15T02:45:13.610113,True
10,2,2,2,Accepted,2025-03-14T02:45:13.610658,,False
11,1,1,3,Completed,2025-03-17T02:48:12.230387,2025-03-17T00:00:00,True
12,1,1,3,Cancelled,2025-03-17T02:48:16.936515,,True
13,1,1,3,Rejected,2025-03-17T02:48:22.150482,,True
14,1,1,3,Accepted,2025-03-17T02:48:26.032502,,True
