id,service_id,customer_id,professional_id,status,request_date,completion_date,seen
1,1,1,1,Completed,2025-03-11T17:28:28.600891,2025-03-14T17:28:28.600899,True
2,2,2,2,Accepted,2025-03-13T17:28:28.601317,,False
3,1,1,1,Completed,2025-03-11T17:28:30.871535,2025-03-14T17:28:30.871543,True
4,2,2,2,Accepted,2025-03-13T17:28:30.871969,,False
5,1,1,1,Completed,2025-03-11T17:28:36.966477,2025-03-14T17:28:36.966489,True
6,2,2,2,Accepted,2025-03-13T17:28:36.966933,,False
7,1,1,3,Completed,2025-03-16T17:31:39.213051,2025-03-16T00:00:00,True
8,1,1,3,Cancelled,2025-03-16T17:31:51.556078,,True
9,1,1,3,Rejected,2025-03-16T17:31:54.273661,,True
10,1,1,3,Accepted,2025-03-16T17:31:56.776907,,True
